Player, Average Time to Encounter, Kills, Deaths, Current KD, Game RunTime
Capsule (3),1.549094,5,9,0,299.8636
Capsule (4),1.690318,18,10,1,299.8636
Capsule (7),0.5832688,15,13,1,299.8636
Capsule (1),1.783201,12,8,1,299.8636
Capsule,0.016247,9,11,0,299.8636
38


Capsule (2),0.0044334,7,10,0,299.7939
Capsule (6),2.953153,14,12,1,299.7939
Capsule (5),0.0080583,19,11,1,299.7939
Capsule (3),0.0077544,14,14,1,299.7939
Capsule (4),0.0048009,8,13,0,299.7939
Capsule (7),0.0101441,13,14,0,299.7939
Capsule (1),1.039857,10,16,0,299.7939
Capsule,0.0100038,19,14,1,299.7939
39


Capsule (2),8.136847,9,9,1,299.7876
Capsule (6),0.004819,11,14,0,299.7876
Capsule (5),5.876672,9,8,1,299.7876
Capsule (3),2.006177,10,11,0,299.7876
Capsule (4),0.8290436,9,13,0,299.7876
Capsule (7),2.105958,9,13,0,299.7876
Capsule (1),0.2070885,12,8,1,299.7876
Capsule,0.4040627,13,6,2,299.7876
40


Capsule (2),0.0064259,20,13,1,299.7536
Capsule (6),0.0120155,9,13,0,299.7536
Capsule (5),1.792726,12,13,0,299.7536
Capsule (3),0.2046016,8,15,0,299.7536
Capsule (4),0.009539,12,14,0,299.7536
Capsule (7),2.216474,18,10,1,299.7536
Capsule (1),0.0101167,14,15,0,299.7536
Capsule,2.350695,12,12,1,299.7536
41


Capsule (2),4.071578,10,10,1,299.7509
Capsule (6),0.0056386,8,11,0,299.7509
Capsule (5),1.703429,16,9,1,299.7509
Capsule (3),0.0055309,13,12,1,299.7509
Capsule (4),1.028822,10,8,1,299.7509
Capsule (7),0.0066576,8,9,0,299.7509
Capsule (1),3.26351,11,10,1,299.7509
Capsule,0.030851,9,16,0,299.7509
42


Capsule (2),0.0159327,8,13,0,299.7802
Capsule (6),0.0109403,10,8,1,299.7802
Capsule (5),0.2577253,14,9,1,299.7802
Capsule (3),2.235901,13,16,0,299.7802
Capsule (4),11.15597,12,10,1,299.7802
Capsule (7),4.59845,10,16,0,299.7802
Capsule (1),1.373878,21,11,1,299.7802
Capsule,0.0048202,9,14,0,299.7802
43


Capsule (2),1.456835,13,10,1,299.7455
Capsule (6),0.08863319,11,11,1,299.7455
Capsule (5),1.021608,8,9,0,299.7455
Capsule (3),0.0092694,12,11,1,299.7455
