Player, Average Time to Encounter, Kills, Deaths, Current KD, Game RunTime, Team
Capsule (7),0.0098484,14,21,0,205.8475,0
Capsule (3),0.2105026,20,16,1,205.8475,1
Capsule (4),1.468859,15,20,0,205.8475,1
Capsule (1),0.0124591,24,16,1,205.8475,1
Capsule (5),0.0071956,16,16,1,205.8475,1
24


Capsule (2),0.0032354,9,19,0,194.6752,0
Capsule (6),0.1611714,17,11,1,194.6752,0
Capsule,3.667823,10,22,0,194.6752,0
Capsule (7),0.0181392,25,12,2,194.6752,0
Capsule (3),0.5265433,16,22,0,194.6752,1
Capsule (4),4.33067,20,14,1,194.6752,1
Capsule (1),0.1781848,18,15,1,194.6752,1
Capsule (5),0.4592384,21,21,1,194.6752,1
25


Capsule (2),0.0033882,18,15,1,203.8257,0
Capsule (6),0.3113787,19,21,0,203.8257,0
Capsule,0.008928,16,16,1,203.8257,0
Capsule (7),0.0173304,22,23,0,203.8257,0
Capsule (3),0.0098953,13,21,0,203.8257,1
Capsule (4),0.0030137,18,15,1,203.8257,1
Capsule (1),3.131656,27,16,1,203.8257,1
Capsule (5),2.507253,9,15,0,203.8257,1
26


Capsule (2),0.003979,26,13,2,172.1987,0
Capsule (6),0.0030062,20,11,1,172.1987,0
Capsule,0.017689,12,16,0,172.1987,0
Capsule (7),0.8444647,17,17,1,172.1987,0
Capsule (3),4.499917,16,25,0,172.1987,1
Capsule (4),1.166787,19,17,1,172.1987,1
Capsule (1),0.0034596,13,18,0,172.1987,1
Capsule (5),0.005063,13,19,0,172.1987,1
27


Capsule (2),0.006865,10,12,0,167.5724,0
Capsule (6),0.4194225,11,19,0,167.5724,0
Capsule,0.0102238,15,19,0,167.5724,0
Capsule (7),0.0209338,14,15,0,167.5724,0
Capsule (3),0.3366596,20,14,1,167.5724,1
Capsule (4),0.1212291,14,22,0,167.5724,1
Capsule (1),3.215444,22,13,1,167.5724,1
Capsule (5),0.7461401,19,11,1,167.5724,1
28


Capsule (2),0.0073355,20,17,1,203.4888,0
Capsule (6),0.0086359,13,15,0,203.4888,0
Capsule,3.00488,20,18,1,203.4888,0
Capsule (7),0.1684711,21,25,0,203.4888,0
Capsule (3),0.0037318,24,18,1,203.4888,1
Capsule (4),2.56981,11,20,0,203.4888,1
Capsule (1),0.0129214,16,16,1,203.4888,1
Capsule (5),0.1986923,24,20,1,203.4888,1
29


Capsule (2),1.220401,28,14,2,187.9761,0
Capsule (6),0.4147648,18,19,0,187.9761,0
Capsule,1.306573,16,21,0,187.9761,0
Capsule (7),0.4604996,9,24,0,187.9761,0
Capsule (3),1.022493,23,16,1,187.9761,1
Capsule (4),5.781516,19,22,0,187.9761,1
Capsule (1),0.0035844,19,14,1,187.9761,1
Capsule (5),0.121573,14,16,0,187.9761,1
30


Capsule (2),0.0050423,22,19,1,217.6655,0
Capsule (6),1.649839,28,19,1,217.6655,0
Capsule,1.602597,13,20,0,217.6655,0
Capsule (7),0.0032242,12,19,0,217.6655,0
Capsule (3),0.2133278,20,17,1,217.6655,1
Capsule (4),0.003222,20,20,1,217.6655,1
Capsule (1),0.7656637,18,14,1,217.6655,1
Capsule (5),0.2197487,16,21,0,217.6655,1
31


Capsule (2),0.0054982,22,16,1,173.7147,0
Capsule (6),2.759821,16,15,1,173.7147,0
Capsule,0.6079727,17,16,1,173.7147,0
Capsule (7),0.3068881,20,18,1,173.7147,0
Capsule (3),2.506841,19,21,0,173.7147,1
Capsule (4),1.033246,15,15,1,173.7147,1
Capsule (1),1.829153,17,20,0,173.7147,1
Capsule (5),1.334982,13,18,0,173.7147,1
32


Capsule (2),0.0376129,24,19,1,206.6366,0
Capsule (6),0.0071732,15,15,1,206.6366,0
Capsule,9.692851,20,20,1,206.6366,0
Capsule (7),0.0731883,16,23,0,206.6366,0
Capsule (3),0.0894899,16,17,0,206.6366,1
Capsule (4),7.788793,16,18,0,206.6366,1
Capsule (1),0.0031925,25,13,1,206.6366,1
Capsule (5),0.0086247,15,22,0,206.6366,1
33


Capsule (2),1.471463,13,23,0,191.2025,0
Capsule (6),0.0033207,16,15,1,191.2025,0
Capsule,1.547984,15,16,0,191.2025,0
Capsule (7),3.672542,31,9,3,191.2025,0
Capsule (3),0.2176446,18,18,1,191.2025,1
Capsule (4),3.183482,15,22,0,191.2025,1
Capsule (1),0.2097009,12,21,0,191.2025,1
Capsule (5),0.0034126,22,18,1,191.2025,1
34


Capsule (2),0.0168704,22,16,1,192.3895,0
Capsule (6),0.5872899,13,17,0,192.3895,0
Capsule,2.646626,19,19,1,192.3895,0
Capsule (7),0.0208072,20,23,0,192.3895,0
Capsule (3),0.0111239,18,20,0,192.3895,1
Capsule (4),0.518017,17,18,0,192.3895,1
Capsule (1),0.0037463,18,20,0,192.3895,1
Capsule (5),2.029734,22,16,1,192.3895,1
35


Capsule (2),0.7534186,20,17,1,188.3153,0
Capsule (6),0.0033422,24,20,1,188.3153,0
Capsule,0.0031659,16,14,1,188.3153,0
Capsule (7),1.489964,15,15,1,188.3153,0
Capsule (3),0.6153097,17,17,1,188.3153,1
Capsule (4),1.093451,16,18,0,188.3153,1
Capsule (1),0.0052675,21,15,1,188.3153,1
Capsule (5),0.5868182,12,25,0,188.3153,1
36


Capsule (2),0.0156226,19,21,0,181.1448,0
Capsule (6),0.0206154,20,20,1,181.1448,0
Capsule,0.0041693,13,16,0,181.1448,0
Capsule (7),0.0147148,23,14,1,181.1448,0
Capsule (3),0.1419658,20,21,0,181.1448,1
Capsule (4),0.1238296,10,14,0,181.1448,1
Capsule (1),4.846719,7,19,0,181.1448,1
Capsule (5),0.9304752,26,13,2,181.1448,1
37


Capsule (2),0.1272453,16,15,1,181.9886,0
Capsule (6),0.088346,19,18,1,181.9886,0
Capsule,6.3949,14,20,0,181.9886,0
Capsule (7),1.807467,26,18,1,181.9886,0
Capsule (3),0.0077402,11,11,1,181.9886,1
Capsule (4),2.48592,13,19,0,181.9886,1
Capsule (1),1.039577,14,18,0,181.9886,1
