Player, Average Time to Encounter, Kills, Deaths, Current KD, Game RunTime, Team
Capsule (5),0.0082479,14,10,1,155.3104,0
Capsule (6),0.015513,18,11,1,155.3104,0
Capsule (3),1.236355,28,10,2,155.3104,0
Capsule,0.0134213,15,11,1,155.3104,0
Capsule (2),1.892375,10,17,0,155.3104,1
Capsule (7),0.0043254,7,20,0,155.3104,1
Capsule (1),0.2287877,9,18,0,155.3104,1
Capsule (4),0.0050693,11,15,0,155.3104,1
22


Capsule (5),0.0052011,23,16,1,189.3547,0
Capsule (6),1.42886,15,15,1,189.3547,0
Capsule (3),0.2023495,18,16,1,189.3547,0
Capsule,0.0174596,19,17,1,189.3547,0
Capsule (2),7.825318,16,15,1,189.3547,1
Capsule (7),0.0161602,12,20,0,189.3547,1
Capsule (1),4.076979,18,20,0,189.3547,1
Capsule (4),0.0967816,14,16,0,189.3547,1
23


Capsule (5),0.0046164,11,16,0,184.5559,0
Capsule (6),0.1439369,18,14,1,184.5559,0
Capsule (3),0.0059683,16,22,0,184.5559,0
Capsule,0.0579059,18,17,1,184.5559,0
Capsule (2),2.56085,15,17,0,184.5559,1
Capsule (7),1.563532,18,18,1,184.5559,1
Capsule (1),0.92281,25,16,1,184.5559,1
Capsule (4),1.504175,17,18,0,184.5559,1
24


Capsule (5),0.0044056,17,15,1,175.7413,0
Capsule (6),0.004467,22,13,1,175.7413,0
Capsule (3),0.0053557,16,18,0,175.7413,0
Capsule,1.841543,20,17,1,175.7413,0
Capsule (2),0.0083913,13,19,0,175.7413,1
Capsule (7),0.0150768,16,19,0,175.7413,1
Capsule (1),1.355523,20,19,1,175.7413,1
Capsule (4),0.2133846,15,19,0,175.7413,1
25


Capsule (5),2.50602,20,16,1,174.3019,0
Capsule (6),1.035235,15,13,1,174.3019,0
Capsule (3),3.632252,21,12,1,174.3019,0
Capsule,0.0104691,19,19,1,174.3019,0
Capsule (2),1.045222,17,20,0,174.3019,1
Capsule (7),0.0096179,14,21,0,174.3019,1
Capsule (1),0.2112737,14,15,0,174.3019,1
Capsule (4),0.0094308,14,18,0,174.3019,1
26


Capsule (5),0.0057736,7,16,0,180.5247,0
Capsule (6),0.0045198,17,15,1,180.5247,0
Capsule (3),1.695216,16,12,1,180.5247,0
Capsule,0.0043894,13,16,0,180.5247,0
Capsule (2),0.9784645,24,14,1,180.5247,1
Capsule (7),0.1634354,10,16,0,180.5247,1
Capsule (1),1.627967,20,20,1,180.5247,1
Capsule (4),0.8181945,21,19,1,180.5247,1
27


Capsule,3.841579,7,21,0,173.1775,0
Capsule (3),0.0031823,18,21,0,173.1775,0
Capsule (4),2.896049,20,15,1,173.1775,0
Capsule (2),0.0042357,16,20,0,173.1775,0
Capsule (5),1.035586,13,12,1,173.1775,1
