Player, Average Time to Encounter, Kills, Deaths, Current KD, Game RunTime
Capsule (1),0.0109893,35,26,1,281.5025
Capsule (5),3.502197,32,32,1,281.5025
33,,,,,
,,,,,
,,,,,
Capsule (6),0.2169802,19,29,0,220.3463
Capsule (7),1.288349,35,19,1,220.3463
Capsule,0.0071615,15,22,0,220.3463
Capsule (4),0.2182065,24,18,1,220.3463
Capsule (2),0.004607,23,26,0,220.3463
Capsule (3),0.0097799,26,18,1,220.3463
Capsule (1),0.4583417,13,24,0,220.3463
Capsule (5),1.326059,23,22,1,220.3463
34,,,,,
,,,,,
,,,,,
Capsule (6),0.0051998,20,24,0,258.7987
Capsule (7),0.9552808,21,31,0,258.7987
Capsule,3.149398,15,22,0,258.7987
Capsule (4),0.1767683,35,21,1,258.7987
Capsule (2),0.6960341,23,20,1,258.7987
Capsule (3),0.5352039,29,28,1,258.7987
Capsule (1),0.2164436,26,23,1,258.7987
Capsule (5),0.0046056,23,23,1,258.7987
35,,,,,
,,,,,
,,,,,
Capsule (6),3.25641,28,25,1,299.9674
Capsule (7),0.0162594,29,39,0,299.9674
Capsule,2.84219,26,37,0,299.9674
Capsule (4),2.467423,33,23,1,299.9674
Capsule (2),0.2227791,29,28,1,299.9674
Capsule (3),2.058698,32,24,1,299.9674
Capsule (1),0.0064823,30,29,1,299.9674
Capsule (5),0.0046461,28,30,0,299.9674
36,,,,,
,,,,,
,,,,,
Capsule (6),0.0153952,22,24,0,250.555
Capsule (7),0.21615,20,24,0,250.555
Capsule,0.0054277,22,24,0,250.555
Capsule (4),1.918344,35,24,1,250.555
Capsule (2),0.00848,20,26,0,250.555
Capsule (3),0.8557624,32,14,2,250.555
Capsule (1),0.0098887,15,28,0,250.555
Capsule (5),0.8596762,24,26,0,250.555
37,,,,,
,,,,,
,,,,,
Capsule (6),0.0182196,22,26,0,240.7121
Capsule (7),0.0047337,35,15,2,240.7121
Capsule,0.0048931,21,23,0,240.7121
Capsule (4),0.0181852,24,33,0,240.7121
Capsule (2),0.004776,18,31,0,240.7121
Capsule (3),0.0810646,22,24,0,240.7121
Capsule (1),0.0086598,28,19,1,240.7121
Capsule (5),1.840921,27,26,1,240.7121
38,,,,,
,,,,,
,,,,,
Capsule (6),0.1359987,30,29,1,299.9704
Capsule (7),2.150828,30,33,0,299.9704
Capsule,0.0051974,24,24,1,299.9704
Capsule (4),0.0150622,23,29,0,299.9704
Capsule (2),0.0075235,26,29,0,299.9704
Capsule (3),0.0437504,21,24,0,299.9704
Capsule (1),2.214204,33,26,1,299.9704
Capsule (5),0.626472,32,25,1,299.9704
39,,,,,
,,,,,
,,,,,
Capsule (6),0.8357677,27,29,0,299.9655
Capsule (7),0.2177228,25,29,0,299.9655
Capsule,0.003984,27,22,1,299.9655
Capsule (4),0.2093326,34,34,1,299.9655
Capsule (2),0.0056074,26,33,0,299.9655
