Player, Average Time to Encounter, Kills, Deaths, Current KD, Game RunTime
Capsule (5),0.0089777,25,29,0,299.9176
Capsule (1),0.0180202,26,25,1,299.9176
Capsule (7),0.0084592,34,29,1,299.9176
Capsule (6),4.239552,25,24,1,299.9176
63


Capsule (2),0.0255763,15,19,0,214.42
Capsule (4),0.0069725,13,19,0,214.42
Capsule (3),0.8406636,28,19,1,214.42
Capsule,2.397573,20,22,0,214.42
Capsule (5),0.0122869,14,22,0,214.42
Capsule (1),2.034878,13,19,0,214.42
Capsule (7),7.68643,23,18,1,214.42
Capsule (6),0.0046403,35,23,1,214.42
64


Capsule (2),0.55167,24,27,0,275.4915
Capsule (4),0.0152718,27,26,1,275.4915
Capsule (3),0.8298304,20,32,0,275.4915
Capsule,0.021013,25,27,0,275.4915
Capsule (5),0.0068063,27,26,1,275.4915
Capsule (1),0.0046582,30,23,1,275.4915
Capsule (7),0.2800413,24,31,0,275.4915
Capsule (6),0.1540558,35,20,1,275.4915
65


Capsule (2),0.0614259,25,32,0,290.8999
Capsule (4),0.0149633,20,32,0,290.8999
Capsule (3),0.014584,27,25,1,290.8999
Capsule,0.2310043,28,23,1,290.8999
Capsule (5),0.8032367,35,25,1,290.8999
Capsule (1),0.0054389,24,28,0,290.8999
Capsule (7),0.4196344,33,24,1,290.8999
Capsule (6),1.739777,24,27,0,290.8999
66


Capsule (2),3.238604,29,33,0,299.631
Capsule (4),1.63966,26,25,1,299.631
Capsule (3),1.024006,32,26,1,299.631
Capsule,0.0185442,29,29,1,299.631
Capsule (5),0.1354226,30,27,1,299.631
Capsule (1),0.0061723,28,27,1,299.631
Capsule (7),2.155552,29,27,1,299.631
Capsule (6),0.6451001,20,29,0,299.631
67


Capsule (2),0.0191456,27,27,1,299.9486
Capsule (4),0.0083758,26,26,1,299.9486
Capsule (3),0.1633796,34,30,1,299.9486
Capsule,2.237106,23,28,0,299.9486
Capsule (5),0.0099436,30,30,1,299.9486
Capsule (1),0.0058148,28,29,0,299.9486
Capsule (7),1.534444,32,20,1,299.9486
Capsule (6),0.0056802,22,32,0,299.9486
68


Capsule (2),0.0064363,12,17,0,191.2149
Capsule (4),0.0218798,11,18,0,191.2149
Capsule (3),0.0077702,14,19,0,191.2149
Capsule,0.0220242,12,20,0,191.2149
Capsule (5),0.1939521,12,21,0,191.2149
Capsule (1),0.5245184,19,19,1,191.2149
Capsule (7),0.0054919,35,17,2,191.2149
Capsule (6),2.133784,31,15,2,191.2149
69


Capsule (2),0.0057491,35,18,1,255.0632
Capsule (4),1.906054,30,24,1,255.0632
Capsule (3),0.0055936,26,23,1,255.0632
Capsule,0.216337,10,34,0,255.0632
Capsule (5),0.5048128,19,33,0,255.0632
Capsule (1),0.826954,22,24,0,255.0632
Capsule (7),1.346723,30,22,1,255.0632
Capsule (6),0.5702962,26,20,1,255.0632
70


Capsule (2),6.664991,26,22,1,273.149
Capsule (4),1.36239,24,29,0,273.149
Capsule (3),0.1780087,16,33,0,273.149
Capsule,0.017637,21,29,0,273.149
Capsule (5),0.2162194,35,23,1,273.149
Capsule (1),0.0069889,30,20,1,273.149
Capsule (7),0.010288,24,25,0,273.149
Capsule (6),1.032254,26,21,1,273.149
71


Capsule (2),1.202235,19,20,0,245.7891
Capsule (4),2.000898,20,21,0,245.7891
Capsule (3),0.7144283,23,24,0,245.7891
Capsule,0.7321388,24,35,0,245.7891
Capsule (5),0.0074166,23,23,1,245.7891
Capsule (1),2.021756,35,21,1,245.7891
Capsule (7),2.022026,27,17,1,245.7891
Capsule (6),0.7952091,18,28,0,245.7891
72


Capsule (2),0.0053602,31,33,0,279.1004
Capsule (4),1.567114,24,31,0,279.1004
Capsule (3),0.0139188,35,28,1,279.1004
Capsule,0.0245418,20,27,0,279.1004
Capsule (5),1.637265,29,25,1,279.1004
Capsule (1),5.733028,29,24,1,279.1004
Capsule (7),1.020132,25,26,0,279.1004
Capsule (6),0.0097283,24,23,1,279.1004
73


Capsule (2),0.0052476,30,27,1,299.9393
Capsule (4),0.005776,32,21,1,299.9393
Capsule (3),0.0094432,30,33,0,299.9393
